ano;sigla_uf;cnae_2;descricao_cnae;grupo;tratado;total_vinculos_ativos;massa_salarial;post;salario_medio
2019;AL;25390;Serviços de usinagem, solda, tratamento e revestimento em metais;controle;FALSE;155;297758,4899999999;FALSE;1,92102251612903e+03
2019;AL;25420;Fabricação de artigos de serralheria, exceto esquadrias;controle;FALSE;46;52092,3500000000;FALSE;1,13244239130435e+03
2019;AL;25438;Fabricação de ferramentas;controle;FALSE;5;4992,8600000000;FALSE;9,98572000000000e+02
2019;AL;25918;Fabricação de embalagens metálicas;controle;FALSE;5;8908,2900000000;FALSE;1,78165800000000e+03
2019;AL;25926;Fabricação de produtos de trefilados de metal;controle;FALSE;9;11022,0000000000;FALSE;1,22466666666667e+03
2019;AL;25993;Fabricação de produtos de metal não especificados anteriormente;controle;FALSE;148;178071,3700000000;FALSE;1,20318493243243e+03
2019;AL;27406;Fabricação de lâmpadas e outros equipamentos de iluminação;tratado_extensao;TRUE;20;22433,5200000000;FALSE;1,12167600000000e+03
2019;AL;28119;Fabricação de motores e turbinas, exceto para aviões e veículos rodoviários;controle;FALSE;89;199857,4700000000;FALSE;2,24558955056180e+03
2019;AL;28127;Fabricação de equipamentos hidráulicos e pneumáticos, exceto válvulas;controle;FALSE;0;0,0000000000;FALSE;NA
2019;AL;28135;Fabricação de válvulas, registros e dispositivos semelhantes;controle;FALSE;46;88860,6400000000;FALSE;1,93175304347826e+03
2019;AL;28224;Fabricação de máquinas, equipamentos e aparelhos para transporte e elevação de cargas e pessoas;controle;FALSE;19;75176,6800000000;FALSE;3,95666736842105e+03
2019;AL;28232;Fabricação de máquinas e aparelhos de refrigeração e ventilação para uso industrial e comercial;controle;FALSE;3;4170,0000000000;FALSE;1,39000000000000e+03
2019;AL;28259;Fabricação de máquinas e equipamentos para saneamento básico e ambiental;controle;FALSE;0;0,0000000000;FALSE;NA
2019;AL;28291;Fabricação de máquinas e equipamentos de uso geral não especificados anteriormente;controle;FALSE;10;32110,0200000000;FALSE;3,21100200000000e+03
2019;AL;28321;Fabricação de equipamentos para irrigação agrícola;controle;FALSE;46;97716,4500000000;FALSE;2,12427065217391e+03
2019;AL;28402;Fabricação de máquinas-ferramenta;controle;FALSE;0;0,0000000000;FALSE;NA
2019;AL;28615;Fabricação de máquinas para a indústria metalúrgica, exceto máquinas-ferramenta;controle;FALSE;0;0,0000000000;FALSE;NA
2019;AL;28623;Fabricação de máquinas e equipamentos para as indústrias de alimentos, bebidas e fumo;controle;FALSE;9;11654,6600000000;FALSE;1,29496222222222e+03
2019;AL;28666;Fabricação de máquinas e equipamentos para a indústria do plástico;controle;FALSE;0;0,0000000000;FALSE;NA
2019;AL;28691;Fabricação de máquinas e equipamentos para uso industrial específico não especificados anteriormente;controle;FALSE;3;3602,5600000000;FALSE;1,20085333333333e+03
2019;AL;32116;Lapidação de gemas e fabricação de artefatos de ourivesaria e joalheria;tratado_nucleo;TRUE;1;998,0000000000;FALSE;9,98000000000000e+02
2019;AL;32124;Fabricação de bijuterias e artefatos semelhantes;tratado_nucleo;TRUE;26;30651,4700000000;FALSE;1,17890269230769e+03
2019;AL;32302;Fabricação de artefatos para pesca e esporte;tratado_nucleo;TRUE;0;0,0000000000;FALSE;NA
2019;AM;10112;Abate de reses, exceto suínos;sensibilidade;FALSE;518;825504,8299999994;FALSE;1,59363866795367e+03
2019;AM;10121;Abate de suínos, aves e outros pequenos animais;sensibilidade;FALSE;0;0,0000000000;FALSE;NA
2019;AM;10139;Fabricação de produtos de carne;sensibilidade;FALSE;83;149003,1600000000;FALSE;1,79521879518072e+03
2019;AM;10201;Preservação do pescado e fabricação de produtos do pescado;sensibilidade;FALSE;292;410444,4300000001;FALSE;1,40563160958904e+03
2019;AM;10317;Fabricação de conservas de frutas;sensibilidade;FALSE;180;239759,5400000000;FALSE;1,33199744444444e+03
2019;AM;10325;Fabricação de conservas de legumes e outros vegetais;sensibilidade;FALSE;0;0,0000000000;FALSE;NA
2019;AM;10333;Fabricação de sucos de frutas, hortaliças e legumes;sensibilidade;FALSE;119;231567,4300000000;FALSE;1,94594478991597e+03
2019;AM;10414;Fabricação de óleos vegetais em bruto, exceto óleo de milho;sensibilidade;FALSE;97;238810,6400000001;FALSE;2,46196536082474e+03
2019;AM;10431;Fabricação de margarina e outras gorduras vegetais e de óleos não comestíveis de animais;sensibilidade;FALSE;0;0,0000000000;FALSE;NA
2019;AM;10520;Fabricação de laticínios;sensibilidade;FALSE;248;257729,5999999999;FALSE;1,03923225806452e+03
2019;AM;10538;Fabricação de sorvetes e outros gelados comestíveis;sensibilidade;FALSE;286;433181,5599999999;FALSE;1,51462083916084e+03
2019;AM;10619;Beneficiamento de arroz e fabricação de produtos do arroz;sensibilidade;FALSE;18;29049,6300000000;FALSE;1,61386833333333e+03
2019;AM;10627;Moagem de trigo e fabricação de derivados;sensibilidade;FALSE;212;638248,3199999996;FALSE;3,01060528301887e+03
2019;AM;10635;Fabricação de farinha de mandioca e derivados;sensibilidade;FALSE;8;8978,4200000000;FALSE;1,12230250000000e+03
2019;AM;10643;Fabricação de farinha de milho e derivados, exceto óleos de milho;sensibilidade;FALSE;18;27152,6800000000;FALSE;1,50848222222222e+03
2019;AM;10651;Fabricação de amidos e féculas de vegetais e de óleos de milho;sensibilidade;FALSE;7;8264,8100000000;FALSE;1,18068714285714e+03
2019;AM;10660;Fabricação de alimentos para animais;sensibilidade;FALSE;96;155284,6100000000;FALSE;1,61754802083333e+03
2019;AM;10694;Moagem e fabricação de produtos de origem vegetal não especificados anteriormente;sensibilidade;FALSE;106;96480,9800000000;FALSE;9,10197924528302e+02
2019;AM;10813;Torrefação e moagem de café;sensibilidade;FALSE;179;443570,5699999999;FALSE;2,47804787709497e+03
2019;AM;10821;Fabricação de produtos à base de café;sensibilidade;FALSE;11;13380,9400000000;FALSE;1,21644909090909e+03
2019;AM;10911;Fabricação de produtos de panificação;sensibilidade;FALSE;1102;1423639,1900000006;FALSE;1,29186859346643e+03
2019;AM;10929;Fabricação de biscoitos e bolachas;sensibilidade;FALSE;102;78245,4300000000;FALSE;7,67112058823529e+02
2019;AM;10937;Fabricação de produtos derivados do cacau, de chocolates e confeitos;sensibilidade;FALSE;24;6790,3000000000;FALSE;2,82929166666667e+02
2019;AM;10945;Fabricação de massas alimentícias;sensibilidade;FALSE;115;170583,6800000000;FALSE;1,48333634782609e+03
2019;AM;10953;Fabricação de especiarias, molhos, temperos e condimentos;sensibilidade;FALSE;7;11061,5100000000;FALSE;1,58021571428571e+03
